Vardas               Pavarde               ND1                 ND2                 ND3                 ND4                 ND5                 Egz.
Vardas122            Pavarde122            5                   5                   1                   2                   4                   9                   
Vardas123            Pavarde123            6                   6                   7                   8                   5                   8                   
Vardas124            Pavarde124            1                   10                  3                   8                   6                   9                   
Vardas125            Pavarde125            5                   8                   3                   4                   2                   7                   
Vardas126            Pavarde126            2                   2                   5                   6                   5                   3                   
Vardas127            Pavarde127            8                   9                   9                   5                   2                   9                   
Vardas128            Pavarde128            7                   6                   5                   6                   3                   10                  
Vardas129            Pavarde129            2                   4                   1                   5                   6                   10                  
Vardas130            Pavarde130            10                  9                   8                   8                   3                   5                   
Vardas131            Pavarde131            8                   6                   4                   9                   7                   5                   
Vardas132            Pavarde132            3                   3                   1                   8                   7                   5                   
Vardas133            Pavarde133            5                   9                   5                   6                   10                  1                   
Vardas134            Pavarde134            5                   3                   2                   8                   9                   1                   
Vardas135            Pavarde135            6                   6                   8                   4                   3                   10                  
Vardas136            Pavarde136            7                   2                   4                   8                   1                   1                   
Vardas137            Pavarde137            6                   9                   10                  6                   2                   3                   
Vardas138            Pavarde138            4                   8                   9                   7                   5                   3                   
Vardas139            Pavarde139            1                   5                   3                   6                   5                   4                   
Vardas140            Pavarde140            8                   3                   6                   3                   6                   8                   
Vardas141            Pavarde141            10                  10                  7                   3                   10                  5                   
Vardas142            Pavarde142            1                   10                  6                   6                   10                  8                   
Vardas143            Pavarde143            8                   10                  2                   1                   10                  9                   
Vardas144            Pavarde144            9                   6                   7                   2                   10                  9                   
Vardas145            Pavarde145            7                   1                   4                   2                   2                   10                  
Vardas146            Pavarde146            3                   6                   8                   9                   6                   5                   
Vardas147            Pavarde147            7                   5                   3                   5                   5                   5                   
Vardas148            Pavarde148            5                   2                   5                   6                   4                   4                   
Vardas149            Pavarde149            6                   10                  2                   9                   2                   3                   
Vardas150            Pavarde150            3                   3                   2                   3                   7                   7                   
Vardas151            Pavarde151            1                   4                   10                  4                   2                   3                   
Vardas152            Pavarde152            6                   8                   7                   2                   2                   3                   
Vardas153            Pavarde153            3                   10                  10                  8                   4                   7                   
Vardas154            Pavarde154            6                   10                  8                   10                  5                   4                   
Vardas155            Pavarde155            7                   7                   2                   4                   5                   8                   
Vardas156            Pavarde156            8                   3                   5                   2                   5                   6                   
Vardas157            Pavarde157            10                  2                   6                   1                   6                   7                   
Vardas158            Pavarde158            10                  2                   8                   7                   8                   4                   
Vardas159            Pavarde159            2                   4                   3                   7                   5                   6                   
Vardas160            Pavarde160            2                   2                   7                   2                   1                   6                   
Vardas161            Pavarde161            3                   3                   6                   8                   10                  9                   
Vardas162            Pavarde162            5                   3                   1                   10                  6                   5                   
Vardas163            Pavarde163            1                   8                   6                   9                   9                   7                   
Vardas164            Pavarde164            5                   5                   10                  8                   9                   9                   
Vardas165            Pavarde165            9                   6                   8                   6                   3                   6                   
Vardas166            Pavarde166            10                  3                   8                   6                   2                   7                   
Vardas167            Pavarde167            9                   2                   8                   3                   1                   10                  
Vardas168            Pavarde168            8                   6                   7                   6                   3                   6                   
Vardas169            Pavarde169            9                   5                   2                   7                   6                   8                   
Vardas170            Pavarde170            4                   7                   10                  9                   10                  5                   
Vardas171            Pavarde171            6                   3                   8                   3                   2                   4                   
Vardas172            Pavarde172            9                   2                   3                   6                   5                   6                   
Vardas173            Pavarde173            6                   3                   10                  4                   1                   8                   
Vardas174            Pavarde174            4                   10                  10                  10                  2                   4                   
Vardas175            Pavarde175            9                   3                   3                   8                   2                   4                   
Vardas176            Pavarde176            1                   6                   9                   9                   10                  5                   
Vardas177            Pavarde177            6                   10                  9                   3                   8                   1                   
Vardas178            Pavarde178            7                   8                   8                   5                   3                   3                   
Vardas179            Pavarde179            3                   5                   10                  1                   5                   2                   
Vardas180            Pavarde180            10                  10                  7                   10                  5                   4                   
Vardas181            Pavarde181            4                   3                   8                   10                  6                   1                   
Vardas182            Pavarde182            5                   1                   3                   9                   10                  3                   
Vardas183            Pavarde183            4                   3                   8                   6                   1                   7                   
Vardas184            Pavarde184            1                   2                   7                   3                   10                  5                   
Vardas185            Pavarde185            4                   1                   8                   9                   4                   2                   
Vardas186            Pavarde186            4                   1                   10                  5                   1                   6                   
Vardas187            Pavarde187            3                   3                   8                   1                   6                   5                   
Vardas188            Pavarde188            1                   7                   5                   6                   5                   2                   
Vardas189            Pavarde189            9                   8                   2                   2                   6                   8                   
Vardas190            Pavarde190            10                  1                   9                   6                   3                   3                   
Vardas191            Pavarde191            2                   4                   1                   3                   10                  7                   
Vardas192            Pavarde192            8                   6                   9                   3                   6                   8                   
Vardas193            Pavarde193            4                   8                   10                  4                   3                   7                   
Vardas194            Pavarde194            8                   1                   1                   6                   2                   3                   
Vardas195            Pavarde195            9                   7                   1                   4                   8                   10                  
Vardas196            Pavarde196            10                  1                   3                   7                   1                   9                   
Vardas197            Pavarde197            1                   3                   2                   5                   6                   10                  
Vardas198            Pavarde198            7                   2                   2                   1                   10                  6                   
Vardas199            Pavarde199            3                   6                   4                   5                   4                   7                   
Vardas200            Pavarde200            6                   10                  8                   1                   2                   1                   
Vardas201            Pavarde201            1                   5                   7                   9                   3                   5                   
Vardas202            Pavarde202            3                   1                   10                  5                   3                   4                   
Vardas203            Pavarde203            3                   4                   9                   1                   3                   1                   
Vardas204            Pavarde204            5                   10                  7                   6                   1                   10                  
Vardas205            Pavarde205            1                   10                  3                   9                   4                   3                   
Vardas206            Pavarde206            9                   8                   10                  10                  2                   7                   
Vardas207            Pavarde207            5                   4                   7                   8                   5                   7                   
Vardas208            Pavarde208            6                   7                   4                   9                   3                   4                   
Vardas209            Pavarde209            2                   4                   2                   2                   5                   7                   
Vardas210            Pavarde210            4                   2                   10                  4                   9                   7                   
Vardas211            Pavarde211            9                   10                  10                  5                   2                   3                   
Vardas212            Pavarde212            6                   4                   4                   1                   5                   2                   
Vardas213            Pavarde213            9                   8                   8                   9                   2                   9                   
Vardas214            Pavarde214            5                   8                   8                   5                   2                   6                   
Vardas215            Pavarde215            10                  4                   3                   9                   6                   7                   
Vardas216            Pavarde216            1                   5                   1                   6                   2                   9                   
Vardas217            Pavarde217            8                   2                   2                   9                   1                   1                   
Vardas218            Pavarde218            6                   9                   2                   8                   2                   9                   
Vardas219            Pavarde219            8                   2                   6                   6                   10                  4                   
Vardas220            Pavarde220            4                   9                   2                   4                   9                   5                   
Vardas221            Pavarde221            8                   6                   9                   6                   10                  9                   
Vardas222            Pavarde222            2                   10                  3                   7                   2                   7                   
Vardas223            Pavarde223            4                   2                   3                   3                   2                   1                   
Vardas224            Pavarde224            10                  2                   10                  7                   3                   2                   
Vardas225            Pavarde225            6                   5                   1                   7                   6                   4                   
Vardas226            Pavarde226            3                   10                  10                  5                   5                   6                   
Vardas227            Pavarde227            3                   1                   2                   9                   8                   7                   
Vardas228            Pavarde228            7                   4                   3                   10                  10                  3                   
Vardas229            Pavarde229            4                   7                   8                   10                  7                   10                  
Vardas230            Pavarde230            8                   8                   5                   6                   7                   2                   
Vardas231            Pavarde231            10                  1                   3                   4                   3                   4                   
Vardas232            Pavarde232            8                   1                   9                   1                   8                   1                   
Vardas233            Pavarde233            5                   4                   4                   3                   1                   10                  
Vardas234            Pavarde234            4                   9                   2                   2                   4                   8                   
Vardas235            Pavarde235            3                   4                   6                   4                   7                   1                   
Vardas236            Pavarde236            7                   6                   7                   8                   1                   6                   
Vardas237            Pavarde237            5                   2                   5                   4                   9                   7                   
Vardas238            Pavarde238            4                   1                   2                   9                   8                   9                   
Vardas239            Pavarde239            6                   6                   4                   4                   1                   1                   
Vardas240            Pavarde240            4                   8                   9                   4                   3                   2                   
Vardas241            Pavarde241            3                   7                   4                   9                   7                   10                  
Vardas242            Pavarde242            7                   2                   9                   2                   2                   4                   
Vardas243            Pavarde243            7                   7                   8                   6                   3                   2                   
Vardas244            Pavarde244            9                   2                   10                  7                   9                   5                   
Vardas245            Pavarde245            9                   4                   6                   10                  4                   9                   
Vardas246            Pavarde246            3                   5                   8                   6                   4                   6                   
Vardas247            Pavarde247            8                   1                   10                  1                   5                   10                  
Vardas248            Pavarde248            4                   6                   2                   7                   2                   9                   
Vardas249            Pavarde249            8                   7                   9                   10                  7                   1                   
Vardas250            Pavarde250            5                   7                   7                   9                   9                   1                   
Vardas251            Pavarde251            5                   8                   2                   1                   4                   1                   
Vardas252            Pavarde252            9                   6                   1                   6                   9                   4                   
Vardas253            Pavarde253            7                   6                   6                   1                   7                   5                   
Vardas254            Pavarde254            4                   1                   8                   10                  7                   7                   
Vardas255            Pavarde255            10                  10                  6                   10                  1                   10                  
Vardas256            Pavarde256            2                   1                   2                   6                   2                   8                   
Vardas257            Pavarde257            7                   5                   8                   2                   5                   4                   
Vardas258            Pavarde258            8                   2                   9                   3                   10                  5                   
Vardas259            Pavarde259            3                   2                   7                   2                   6                   4                   
Vardas260            Pavarde260            5                   10                  7                   10                  4                   3                   
Vardas261            Pavarde261            10                  2                   9                   4                   10                  9                   
Vardas262            Pavarde262            2                   8                   9                   9                   1                   8                   
Vardas263            Pavarde263            1                   5                   2                   9                   9                   8                   
Vardas264            Pavarde264            6                   6                   7                   7                   7                   9                   
Vardas265            Pavarde265            1                   4                   9                   5                   2                   8                   
Vardas266            Pavarde266            1                   7                   3                   10                  1                   2                   
Vardas267            Pavarde267            7                   10                  5                   3                   6                   4                   
Vardas268            Pavarde268            1                   8                   7                   8                   4                   8                   
Vardas269            Pavarde269            5                   2                   2                   10                  6                   4                   
Vardas270            Pavarde270            1                   10                  1                   9                   10                  10                  
Vardas271            Pavarde271            6                   10                  9                   1                   3                   9                   
Vardas272            Pavarde272            4                   8                   1                   10                  6                   9                   
Vardas273            Pavarde273            1                   9                   10                  3                   2                   2                   
Vardas274            Pavarde274            5                   2                   4                   8                   1                   3                   
Vardas275            Pavarde275            4                   6                   9                   10                  2                   10                  
Vardas276            Pavarde276            6                   3                   5                   1                   8                   8                   
Vardas277            Pavarde277            1                   5                   6                   5                   2                   3                   
Vardas278            Pavarde278            2                   7                   3                   7                   2                   2                   
Vardas279            Pavarde279            10                  7                   5                   6                   10                  7                   
Vardas280            Pavarde280            5                   10                  8                   3                   8                   5                   
Vardas281            Pavarde281            2                   9                   1                   5                   2                   8                   
Vardas282            Pavarde282            10                  7                   6                   2                   7                   3                   
Vardas283            Pavarde283            8                   3                   5                   10                  7                   10                  
Vardas284            Pavarde284            1                   5                   9                   2                   10                  1                   
Vardas285            Pavarde285            3                   6                   10                  3                   7                   9                   
Vardas286            Pavarde286            5                   3                   9                   2                   6                   3                   
Vardas287            Pavarde287            1                   3                   6                   4                   1                   8                   
Vardas288            Pavarde288            5                   8                   8                   9                   10                  9                   
Vardas289            Pavarde289            5                   9                   9                   10                  9                   10                  
Vardas290            Pavarde290            8                   10                  7                   1                   3                   9                   
Vardas291            Pavarde291            10                  9                   5                   7                   6                   1                   
Vardas292            Pavarde292            3                   5                   3                   9                   8                   6                   
Vardas293            Pavarde293            8                   3                   9                   5                   7                   3                   
Vardas294            Pavarde294            6                   7                   7                   10                  6                   9                   
Vardas295            Pavarde295            4                   9                   6                   5                   10                  6                   
Vardas296            Pavarde296            2                   6                   10                  8                   9                   7                   
Vardas297            Pavarde297            5                   5                   8                   1                   7                   9                   
Vardas298            Pavarde298            1                   3                   8                   1                   2                   10                  
Vardas299            Pavarde299            2                   8                   9                   5                   1                   7                   
Vardas300            Pavarde300            2                   3                   7                   5                   9                   7                   
Vardas301            Pavarde301            9                   8                   7                   6                   4                   10                  
Vardas302            Pavarde302            9                   7                   9                   8                   8                   3                   
Vardas303            Pavarde303            4                   2                   5                   7                   2                   8                   
Vardas304            Pavarde304            9                   6                   5                   6                   10                  10                  
Vardas305            Pavarde305            10                  1                   5                   4                   3                   4                   
Vardas306            Pavarde306            4                   9                   3                   3                   10                  8                   
Vardas307            Pavarde307            3                   7                   9                   1                   1                   2                   
Vardas308            Pavarde308            3                   1                   7                   4                   4                   8                   
Vardas309            Pavarde309            6                   4                   3                   5                   6                   2                   
Vardas310            Pavarde310            2                   6                   10                  9                   7                   10                  
Vardas311            Pavarde311            2                   9                   5                   2                   6                   10                  
Vardas312            Pavarde312            1                   9                   8                   7                   5                   5                   
Vardas313            Pavarde313            1                   2                   9                   8                   5                   1                   
Vardas314            Pavarde314            9                   3                   1                   1                   3                   2                   
Vardas315            Pavarde315            4                   9                   7                   7                   4                   5                   
Vardas316            Pavarde316            1                   5                   7                   10                  1                   9                   
Vardas317            Pavarde317            2                   6                   4                   8                   9                   4                   
Vardas318            Pavarde318            4                   4                   5                   9                   1                   2                   
Vardas319            Pavarde319            2                   10                  1                   1                   4                   4                   
Vardas320            Pavarde320            5                   2                   9                   6                   4                   9                   
Vardas321            Pavarde321            9                   1                   1                   2                   3                   10                  
Vardas322            Pavarde322            9                   4                   1                   8                   2                   6                   
Vardas323            Pavarde323            5                   3                   8                   8                   8                   8                   
Vardas324            Pavarde324            5                   9                   6                   8                   9                   9                   
Vardas325            Pavarde325            8                   10                  8                   7                   7                   7                   
Vardas326            Pavarde326            4                   9                   9                   7                   3                   5                   
Vardas327            Pavarde327            1                   7                   4                   3                   8                   2                   
Vardas328            Pavarde328            6                   5                   10                  10                  3                   2                   
Vardas329            Pavarde329            5                   7                   3                   1                   1                   4                   
Vardas330            Pavarde330            2                   1                   5                   10                  7                   2                   
Vardas331            Pavarde331            5                   10                  7                   10                  3                   2                   
Vardas332            Pavarde332            3                   8                   8                   1                   1                   3                   
Vardas333            Pavarde333            5                   3                   9                   2                   2                   8                   
Vardas334            Pavarde334            3                   6                   9                   10                  6                   9                   
Vardas335            Pavarde335            5                   6                   9                   7                   8                   10                  
Vardas336            Pavarde336            3                   10                  4                   1                   1                   1                   
Vardas337            Pavarde337            8                   4                   7                   9                   9                   9                   
Vardas338            Pavarde338            3                   6                   2                   6                   9                   5                   
Vardas339            Pavarde339            9                   6                   8                   10                  8                   5                   
Vardas340            Pavarde340            1                   6                   3                   6                   8                   8                   
Vardas341            Pavarde341            2                   7                   2                   8                   7                   1                   
Vardas342            Pavarde342            6                   7                   4                   2                   2                   9                   
Vardas343            Pavarde343            1                   1                   1                   2                   5                   4                   
Vardas344            Pavarde344            5                   4                   9                   2                   2                   7                   
Vardas345            Pavarde345            4                   6                   6                   6                   5                   10                  
Vardas346            Pavarde346            3                   3                   2                   4                   1                   7                   
Vardas347            Pavarde347            5                   3                   1                   5                   2                   5                   
Vardas348            Pavarde348            2                   5                   1                   6                   7                   2                   
Vardas349            Pavarde349            7                   1                   9                   4                   7                   8                   
Vardas350            Pavarde350            1                   10                  2                   6                   5                   8                   
Vardas351            Pavarde351            7                   4                   3                   6                   6                   5                   
Vardas352            Pavarde352            1                   1                   3                   3                   6                   7                   
Vardas353            Pavarde353            10                  6                   3                   9                   10                  8                   
Vardas354            Pavarde354            3                   6                   3                   9                   9                   7                   
Vardas355            Pavarde355            7                   7                   1                   6                   10                  4                   
Vardas356            Pavarde356            4                   3                   4                   10                  10                  8                   
Vardas357            Pavarde357            8                   1                   9                   5                   5                   8                   
Vardas358            Pavarde358            7                   9                   9                   7                   10                  5                   
Vardas359            Pavarde359            10                  7                   9                   1                   9                   10                  
Vardas360            Pavarde360            8                   1                   10                  10                  3                   1                   
Vardas361            Pavarde361            1                   5                   8                   10                  5                   6                   
Vardas362            Pavarde362            3                   3                   10                  7                   1                   3                   
Vardas363            Pavarde363            5                   4                   7                   3                   8                   8                   
Vardas364            Pavarde364            9                   7                   10                  9                   5                   7                   
Vardas365            Pavarde365            8                   9                   6                   2                   3                   1                   
Vardas366            Pavarde366            5                   8                   9                   9                   9                   8                   
Vardas367            Pavarde367            4                   4                   7                   6                   4                   10                  
Vardas368            Pavarde368            9                   8                   7                   10                  4                   1                   
Vardas369            Pavarde369            7                   10                  6                   4                   8                   9                   
Vardas370            Pavarde370            10                  2                   2                   10                  3                   4                   
Vardas371            Pavarde371            2                   1                   4                   5                   3                   3                   
Vardas372            Pavarde372            5                   1                   2                   1                   9                   5                   
Vardas373            Pavarde373            3                   6                   4                   1                   10                  3                   
Vardas374            Pavarde374            10                  8                   7                   4                   3                   10                  
Vardas375            Pavarde375            8                   7                   4                   1                   4                   4                   
Vardas376            Pavarde376            1                   10                  9                   6                   9                   4                   
Vardas377            Pavarde377            10                  8                   5                   7                   10                  2                   
Vardas378            Pavarde378            5                   5                   9                   4                   8                   4                   
Vardas379            Pavarde379            4                   10                  8                   6                   6                   5                   
Vardas380            Pavarde380            1                   2                   8                   1                   4                   3                   
Vardas381            Pavarde381            5                   6                   8                   10                  9                   5                   
Vardas382            Pavarde382            8                   8                   2                   10                  8                   5                   
Vardas383            Pavarde383            1                   5                   5                   9                   6                   9                   
Vardas384            Pavarde384            2                   1                   8                   1                   2                   7                   
Vardas385            Pavarde385            8                   2                   7                   6                   2                   7                   
Vardas386            Pavarde386            8                   9                   4                   7                   8                   3                   
Vardas387            Pavarde387            9                   4                   5                   5                   4                   1                   
Vardas388            Pavarde388            2                   1                   10                  9                   7                   8                   
Vardas389            Pavarde389            1                   5                   7                   5                   9                   7                   
Vardas390            Pavarde390            10                  8                   1                   9                   3                   9                   
Vardas391            Pavarde391            4                   3                   6                   1                   5                   7                   
Vardas392            Pavarde392            8                   8                   9                   2                   4                   8                   
Vardas393            Pavarde393            9                   6                   2                   2                   10                  8                   
Vardas394            Pavarde394            1                   2                   2                   9                   9                   8                   
Vardas395            Pavarde395            3                   7                   5                   6                   3                   7                   
Vardas396            Pavarde396            9                   3                   7                   4                   1                   2                   
Vardas397            Pavarde397            10                  5                   2                   9                   6                   1                   
Vardas398            Pavarde398            9                   6                   10                  10                  3                   1                   
Vardas399            Pavarde399            3                   7                   9                   8                   5                   5                   
Vardas400            Pavarde400            6                   1                   3                   3                   1                   3                   
Vardas401            Pavarde401            7                   5                   1                   9                   1                   1                   
Vardas402            Pavarde402            6                   10                  1                   2                   2                   6                   
Vardas403            Pavarde403            4                   8                   10                  6                   6                   6                   
Vardas404            Pavarde404            10                  9                   4                   9                   10                  3                   
Vardas405            Pavarde405            7                   9                   7                   5                   10                  5                   
Vardas406            Pavarde406            9                   10                  1                   2                   5                   5                   
Vardas407            Pavarde407            9                   2                   10                  1                   9                   2                   
Vardas408            Pavarde408            5                   2                   2                   3                   5                   9                   
Vardas409            Pavarde409            5                   4                   6                   2                   10                  7                   
Vardas410            Pavarde410            10                  6                   7                   8                   2                   4                   
Vardas411            Pavarde411            1                   5                   4                   10                  6                   10                  
Vardas412            Pavarde412            2                   10                  2                   4                   6                   3                   
Vardas413            Pavarde413            4                   4                   8                   5                   5                   8                   
Vardas414            Pavarde414            4                   6                   1                   3                   8                   4                   
Vardas415            Pavarde415            6                   2                   10                  10                  7                   8                   
Vardas416            Pavarde416            6                   4                   6                   5                   3                   10                  
Vardas417            Pavarde417            3                   8                   4                   8                   7                   9                   
Vardas418            Pavarde418            3                   2                   10                  9                   4                   10                  
Vardas419            Pavarde419            7                   5                   1                   1                   5                   2                   
Vardas420            Pavarde420            7                   9                   10                  9                   2                   3                   
Vardas421            Pavarde421            6                   5                   9                   4                   2                   8                   
Vardas422            Pavarde422            3                   2                   1                   5                   10                  6                   
Vardas423            Pavarde423            1                   9                   7                   6                   7                   9                   
Vardas424            Pavarde424            4                   10                  7                   5                   2                   1                   
Vardas425            Pavarde425            5                   4                   8                   8                   3                   5                   
Vardas426            Pavarde426            4                   9                   10                  2                   5                   4                   
Vardas427            Pavarde427            1                   2                   4                   10                  6                   10                  
Vardas428            Pavarde428            8                   1                   8                   3                   6                   7                   
Vardas429            Pavarde429            5                   8                   8                   7                   4                   5                   
Vardas430            Pavarde430            1                   10                  7                   8                   2                   8                   
Vardas431            Pavarde431            2                   5                   3                   8                   2                   1                   
Vardas432            Pavarde432            2                   4                   2                   8                   9                   1                   
Vardas433            Pavarde433            5                   6                   5                   2                   6                   6                   
Vardas434            Pavarde434            2                   2                   4                   5                   9                   10                  
