Vardas               Pavarde               ND1                 ND2                 ND3                 ND4                 ND5                 Egz.
Vardas201            Pavarde201            10                  1                   1                   6                   6                   5                   
Vardas202            Pavarde202            1                   4                   1                   6                   3                   6                   
Vardas203            Pavarde203            7                   5                   7                   10                  9                   2                   
Vardas204            Pavarde204            7                   3                   8                   1                   10                  4                   
Vardas205            Pavarde205            2                   1                   3                   10                  10                  1                   
Vardas206            Pavarde206            6                   2                   7                   3                   8                   7                   
Vardas207            Pavarde207            6                   8                   6                   1                   7                   7                   
Vardas208            Pavarde208            4                   3                   7                   9                   6                   1                   
Vardas209            Pavarde209            1                   9                   9                   3                   4                   8                   
Vardas210            Pavarde210            10                  10                  9                   6                   3                   4                   
Vardas211            Pavarde211            1                   3                   5                   8                   3                   5                   
Vardas212            Pavarde212            10                  1                   8                   5                   9                   5                   
Vardas213            Pavarde213            2                   7                   8                   7                   4                   9                   
Vardas214            Pavarde214            5                   2                   9                   4                   3                   5                   
Vardas215            Pavarde215            1                   10                  3                   6                   6                   1                   
Vardas216            Pavarde216            4                   5                   2                   10                  3                   6                   
Vardas217            Pavarde217            10                  2                   4                   1                   8                   6                   
Vardas218            Pavarde218            6                   3                   8                   8                   1                   9                   
Vardas219            Pavarde219            6                   2                   3                   3                   8                   9                   
Vardas220            Pavarde220            1                   3                   6                   7                   10                  4                   
Vardas221            Pavarde221            10                  7                   1                   3                   8                   6                   
Vardas222            Pavarde222            1                   2                   3                   1                   5                   6                   
Vardas223            Pavarde223            8                   10                  3                   7                   4                   3                   
Vardas224            Pavarde224            5                   10                  3                   10                  7                   7                   
Vardas225            Pavarde225            10                  3                   8                   9                   6                   8                   
Vardas226            Pavarde226            6                   10                  4                   5                   5                   3                   
Vardas227            Pavarde227            1                   7                   2                   7                   7                   2                   
Vardas228            Pavarde228            9                   4                   7                   6                   4                   10                  
Vardas229            Pavarde229            2                   2                   1                   10                  10                  10                  
Vardas230            Pavarde230            2                   2                   9                   10                  4                   7                   
Vardas231            Pavarde231            3                   5                   7                   4                   9                   1                   
Vardas232            Pavarde232            5                   3                   1                   5                   9                   3                   
Vardas233            Pavarde233            3                   1                   5                   4                   9                   7                   
Vardas234            Pavarde234            9                   9                   5                   6                   9                   3                   
Vardas235            Pavarde235            9                   7                   1                   3                   6                   5                   
Vardas236            Pavarde236            3                   5                   10                  9                   5                   2                   
Vardas237            Pavarde237            6                   6                   10                  9                   10                  4                   
Vardas238            Pavarde238            8                   10                  8                   2                   2                   3                   
Vardas239            Pavarde239            8                   4                   5                   7                   6                   10                  
Vardas240            Pavarde240            5                   3                   2                   5                   9                   6                   
Vardas241            Pavarde241            10                  1                   10                  3                   4                   9                   
Vardas242            Pavarde242            2                   6                   4                   6                   4                   6                   
Vardas243            Pavarde243            6                   4                   7                   9                   1                   6                   
Vardas244            Pavarde244            3                   4                   10                  4                   6                   3                   
Vardas245            Pavarde245            3                   9                   3                   8                   7                   5                   
Vardas246            Pavarde246            1                   3                   6                   4                   7                   4                   
Vardas247            Pavarde247            9                   1                   9                   8                   3                   6                   
Vardas248            Pavarde248            6                   6                   4                   3                   2                   8                   
Vardas249            Pavarde249            1                   4                   2                   9                   10                  7                   
Vardas250            Pavarde250            5                   6                   9                   3                   4                   9                   
Vardas251            Pavarde251            4                   3                   5                   9                   2                   3                   
Vardas252            Pavarde252            3                   7                   4                   10                  4                   9                   
Vardas253            Pavarde253            1                   7                   2                   9                   6                   5                   
Vardas254            Pavarde254            7                   7                   10                  4                   5                   5                   
Vardas255            Pavarde255            3                   9                   3                   2                   3                   5                   
Vardas256            Pavarde256            5                   8                   4                   10                  4                   6                   
Vardas257            Pavarde257            5                   10                  7                   9                   5                   9                   
Vardas258            Pavarde258            9                   9                   2                   1                   9                   10                  
Vardas259            Pavarde259            2                   7                   4                   1                   3                   7                   
Vardas260            Pavarde260            2                   3                   3                   5                   7                   4                   
Vardas261            Pavarde261            2                   9                   1                   2                   1                   5                   
Vardas262            Pavarde262            10                  10                  1                   7                   8                   5                   
Vardas263            Pavarde263            5                   3                   1                   5                   3                   9                   
Vardas264            Pavarde264            6                   8                   8                   4                   3                   1                   
Vardas265            Pavarde265            10                  4                   7                   10                  9                   5                   
Vardas266            Pavarde266            7                   10                  9                   2                   8                   2                   
Vardas267            Pavarde267            5                   1                   2                   5                   10                  3                   
Vardas268            Pavarde268            6                   6                   10                  3                   10                  9                   
Vardas269            Pavarde269            7                   10                  1                   7                   9                   9                   
Vardas270            Pavarde270            3                   1                   6                   6                   8                   1                   
Vardas271            Pavarde271            3                   9                   4                   2                   7                   8                   
Vardas272            Pavarde272            3                   6                   4                   10                  5                   4                   
